titulo,fonte,data,link
Brasil avança pouco na igualdade salarial entre mulheres e homens - viva.com.br,viva.com.br,"Fri, 18 Sep 2026 19:10:00 GMT",https://news.google.com/rss/articles/CBMirwFBVV95cUxQS3dUOTh3VlRpUXdkWXk4d2RWZFp4bXNuNmpGal9wVGNoeUlUdXcxR1F4YTBIR1QyT2ZTZ0hacHNvVmhYandTZEwxeWtxWFYwSFFjSndxNWtHcmsyX3gtYS16VmpmOVNnTllXcEVLVXlrN1RxR2xJcXREY0NsWXJwRXYyaFFjVTVQSXdQN1Y1MXpZUFRGZl9GWU04RGVEbFZ4QTVCcmotNnBNUkpZZF80?oc=5
Opinião | O que a Lei da Igualdade Salarial não resolve sozinha - poder360.com.br,poder360.com.br,"Sat, 25 Jul 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMilAFBVV95cUxNWktKRjBrQjB6SS1XUUQ5WWZYRFVTSWtXdHltcHFYN0lodGhTTGJyS3pPMHQ2U0I3a3gwWW9Xazd3ci0tS2xETEs0NlQ3TDJJMERRTkdBZzNfWmRoa3NOZEpySktJSDA0Sm1EYjhWR1MtS3M4TDZIeWNrQzVINE85VUZTT0o1RWxZTFIzRW82TW1qekFM?oc=5
"Elas ocupam: presença feminina no trabalho cresce, mas desigualdades persistem - Universidade Federal do Paraná",Universidade Federal do Paraná,"Tue, 03 Mar 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMimAFBVV95cUxNVGpPOU1LWUFVYWlIc0kyTmRaN21UOVAtM05IQmR4d0c4SWFyS2V1VFFxMElmRHpLT1NJcGdhVGdJR0EwS2I1WHFSTm1idm96bWRveFVtS1NhdlBiQ0pkMGdqRDQtRkt3emdWdXhMbUpLYlNxaFVybGxfNnlkVE00b1ZYM19VQ253cVJoMVpTcjF6alA4dEtTaQ?oc=5
Desafios da desigualdade de gênero no mercado de trabalho - FIA – Fundação Instituto de Administração,FIA – Fundação Instituto de Administração,"Fri, 15 Aug 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMiekFVX3lxTE5ScllRX09zYTJQb3RFRmlJUzZFVzFzVTJHLVlBSDQ5bUJSLWJuMWo5M3NSVHlYalF2VUZVQ3JNS0dJRnp6TGtmc0JWQXpmeXQxTnV3RXBoQkxYc0tUanhTOWF1NXBaSXFteFBTNkdCcnFXUmQtRnZCandR?oc=5
Equidade de gênero no mercado de trabalho: desafios e estratégias - ufop.br,ufop.br,"Wed, 09 Mar 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMipAFBVV95cUxOLVNNMS1FSWcxd2ZJTVQ1SWhwT1NOS1gwUWl1VWw0eEY5TW9neDZhdUYxNG12T2hhVG1sM09CMDF5YnFQSzY0US1RRWFTYzRoV0NHR1BfME1RcWVxRjdEZlFHMmRBSXVNdFJPR05JTXlEUjFjUUhfY2lOTFNudk4zUkZseUpQVFlkSzUyOGxTQkY5UHprbkRQemtLX0F6Z3BaRjFSOQ?oc=5
Desigualdade entre mulheres e homens no mercado de trabalho persiste - Sapicuá,Sapicuá,"Tue, 03 Mar 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMimwFBVV95cUxOWmw1MG1NeXZTR1Z1dDQwTUNrS1gxQWl0VXktbUs3TG96VThfbldOaURfQnpTSExQSl9oZWEya19MX2hMXzhBbHI2ei1vWmpWQVlGWERrVWdOM3Y3YmVYVzd5Y19vR19kSGlXUVhna05VTDZFem1LZC1QLS03YkZINVpwQmhaSlExS2lETV9mOFJiNExjTE9mMjBBTQ?oc=5
Desigualdade de gênero no trabalho: 72% das mulheres dizem não ter as mesmas oportunidades que os homens; entenda - O GLOBO,O GLOBO,"Fri, 11 Apr 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMigAJBVV95cUxNX0lGcmpUY2ZySXRlWlVJaEVyUWFUYmljaDFLLW9nQ3NnbUZIQ1drUXVqVzRleFoxNmdqMUJEX1VaUHVDaTBZZlhpaDVIS2w4TzY2dndUN3VVSU9rZHJCNzg3OU5wVDZDTlRoVjd3Nm9SRUFlS2lqYWljQzRJdkJPRG44cVV1cXdFUndLeWNfN0Q1T3ZGbWNXY2hWWUpVQXM5ZTA1eU5tTWdUNnBoMXhtTnVnd0hOR01WRTNRdDFjYXhFUmhYWHRVUzlJb3NxT3hHX0NNY0l5MHJDZUJ2UENFSmYzU3ZZY2Y0N01ndVA1cmM3cHYtNVZyb2R2Tjdjcl9l0gGPAkFVX3lxTFA3LTFhczROQkxKZFQzdkoxS2NkRi1LZUZEczdXZEc5a245TmVPcWdmOWJuTFotM0ZyX25VVzBQSmtsSWN3TngzcEpWdmhOb2NxWjA1X3dPaVVIeTM3c3NPQXlyTlBVTmVFOUdzMFdjMWN3NUhsUmlDTzlCZ3BaVHVZZFdMa1E0UWxGcGNGRGdFZHB6dHBHa2lUd09wVG1MdzZoWXZkVGN2V0NLSWo5bHk2WDhOa2FDdHVVZGdLU1NYc2ROMllaMDl4aG5oZmhxSnJXTTdXSW5xZkRCNjBobzB3ZEpLUW9YQ3diQm1sNmdhbnVKZFl5VVprMGRxZmZKWFo3Yl9GLS1aM3o3U0JiRlk?oc=5
A normatização da igualdade de gênero e os desafios no mercado de trabalho - Migalhas,Migalhas,"Tue, 25 Jul 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMipgFBVV95cUxOOFlUVGhqdnpVTGc1Q0N5VEdmOGN6Yy1uRkR6NmJRa1NZYUg1eEdUakJqZGtsZXRUX3NUTllBY3VXOHBnOElsN3NXdWZucW9sQUswV0owRmVGdXdWMjRhZV8xQmhkbEZBRWJoOWdzckF4Rzlkb082QkdBeTg3TVFxOHVlVTk2dlVsY2E1YzQxR1FKajY0aEtDQTY2NWZVQzN4MTd0dzNn?oc=5
"Desigualdades de gênero no mercado brasileiro vão além da empregabilidade, aponta relatório de transparência salarial - Brasil de Fato",Brasil de Fato,"Fri, 18 Apr 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMi8gFBVV95cUxPYWktbzlhYW5NWk9lRWZ6QkNXa05ZVENMTzh4dFFlQ2U3WldwUWk4WkotWWZMclQ2Um9GbWFieThXNms2WDVGS3JyVTluVzdLSzlzLWU5eVU4WG1ibmpZNkM0UEo0QmxoUjIxMjNRNXdhYjZMenhUbmhpdHUxZlhuT1FkTVpyQ2IwbUlHNThJMTk0ZVdXY2NlelZpX3JOUlFZYURCVUQ0ZjBKWEdvZ2prc3hYWl9iX2JqRFZrVC1XdEpfZjFPSl9jTGtDOTRrdmMwMDlTODFiejBDNVpjUm81V1ZwTExzelJEM2k4T2l0YlE1dw?oc=5
"Uma breve análise do mercado de trabalho brasileiro à luz da desigualdade de gênero, 2012-2023 - Blog do IBRE · FGV",Blog do IBRE · FGV,"Tue, 19 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiwAFBVV95cUxNTkpSUmI3c3lLbnlyYXhfalN2VVIzM0h5UnVYU1UwdS00bnN4ejM1Tlc5dEZUR09mcmNBVmhibEczTF84Z1ZkbDRLOUk5RGVlUTVlbms0V21QQ0N5YkhkaldGSXZoaUZ1SUJYX28wRVNkQTFkdmNOckRkbHh4X2I1TU9SX29xNE5XZjVLLUw4RFhqYkw4MUkwTUl1RnR6eU5feExyWHB0VmNLdGVWX3I1TWRVVmtNQ3p1dS1aMktldzY?oc=5
