ano,valor,indicador
2015,55.2,Taxa de participacao na forca de trabalho - Mulheres (%)
2016,54.8,Taxa de participacao na forca de trabalho - Mulheres (%)
2017,54.5,Taxa de participacao na forca de trabalho - Mulheres (%)
2018,54.7,Taxa de participacao na forca de trabalho - Mulheres (%)
2019,55.1,Taxa de participacao na forca de trabalho - Mulheres (%)
2020,50.8,Taxa de participacao na forca de trabalho - Mulheres (%)
2021,52.6,Taxa de participacao na forca de trabalho - Mulheres (%)
2022,54.3,Taxa de participacao na forca de trabalho - Mulheres (%)
2015,73.8,Taxa de participacao na forca de trabalho - Homens (%)
2016,73.2,Taxa de participacao na forca de trabalho - Homens (%)
2017,73.0,Taxa de participacao na forca de trabalho - Homens (%)
2018,73.1,Taxa de participacao na forca de trabalho - Homens (%)
2019,73.4,Taxa de participacao na forca de trabalho - Homens (%)
2020,68.9,Taxa de participacao na forca de trabalho - Homens (%)
2021,70.5,Taxa de participacao na forca de trabalho - Homens (%)
2022,72.0,Taxa de participacao na forca de trabalho - Homens (%)
2015,9.9,Assentos ocupados por mulheres no parlamento (%)
2016,9.9,Assentos ocupados por mulheres no parlamento (%)
2017,10.7,Assentos ocupados por mulheres no parlamento (%)
2018,10.7,Assentos ocupados por mulheres no parlamento (%)
2019,15.0,Assentos ocupados por mulheres no parlamento (%)
2020,15.0,Assentos ocupados por mulheres no parlamento (%)
2021,15.0,Assentos ocupados por mulheres no parlamento (%)
2022,17.7,Assentos ocupados por mulheres no parlamento (%)
